ID,MISSION_ID,MISSION_NAME,PARENT_SITE_ID,DISPLAY_NAME,VEHICLE_NAME,KIND,SOURCE_KIND,STATUS,LATITUDE_DEGREES,LONGITUDE_EAST_DEGREES,COORDINATE_UNCERTAINTY_M,RADIAL_DISTANCE_M,ARRIVAL_DATE,LOCATION_QUALITY,COORDINATE_SOURCE,RADIUS_SOURCE,COSPAR_ID,GCAT_ID,OWNER,COUNTRY,REFERENCES,DISPLAY_RANK,SITE_REPRESENTATIVE,CREWED_MISSION
viking-1-viking-1,viking-1,Viking 1,viking-1-site-01,Viking 1,Viking 1 Lander,lander,Lander,landed,22.483,-47.968,,,1976-07-20,confirmed,NASA NTRS revised location,,1975-075C,,NASA,US,https://ntrs.nasa.gov/citations/19810041868,0,1,0
viking-2-viking-2,viking-2,Viking 2,viking-2-site-01,Viking 2,Viking 2 Lander,lander,Lander,landed,47.968,134.29,,,1976-09-03,confirmed,NASA Science Viking 2,,1975-083C,,NASA,US,https://science.nasa.gov/mission/viking-2/,0,1,0
mars-pathfinder-mars-pathfinder,mars-pathfinder,Mars Pathfinder,mars-pathfinder-site-01,Mars Pathfinder,Mars Pathfinder Lander,lander,Lander,landed,19.17,-33.21,,,1997-07-04,confirmed,PDS IMP EDR dataset description,,1996-068A,,JPL,US,https://planetarydata.jpl.nasa.gov/img/data/mpfl-m-imp-2-edr-v1.0/mpim_0001/document/dataset.htm,0,1,0
spirit-spirit,spirit,Spirit,spirit-site-01,Spirit landing site,Spirit,rover,Rover landing site,landed,-14.59,175.30,,,2004-01-04,reported,JPL DESCANSO MER navigation summary,,2003-027A,,JPL,US,https://descanso.jpl.nasa.gov/DPSummary/DESCANSO_MER_NAV_051215C_low.pdf,0,1,0
opportunity-opportunity,opportunity,Opportunity,opportunity-site-01,Opportunity landing site,Opportunity,rover,Rover landing site,landed,-1.95,-5.53,,,2004-01-25,confirmed,JPL HiRISE Eagle Crater hardware caption,,2003-032A,,JPL,US,https://www.jpl.nasa.gov/images/pia21494-rovers-landing-hardware-at-eagle-crater-mars/,0,1,0
phoenix-phoenix,phoenix,Phoenix,phoenix-site-01,Phoenix,Phoenix Lander,lander,Lander,landed,68.2,-125.8,,,2008-05-25,confirmed,JPL Phoenix global-view caption,,2007-034A,,JPL,US,https://www.jpl.nasa.gov/images/pia11202-phoenix-landing-site-indicated-on-global-view/,0,1,0
curiosity-curiosity,curiosity,Curiosity,curiosity-site-01,Curiosity landing site,Curiosity,rover,Rover landing site,landed,-4.6,137.4,,,2012-08-06,reported,JPL MSL landing press kit,,2011-070A,,JPL,US,https://www.jpl.nasa.gov/news/press_kits/MSLLanding.pdf,0,1,0
insight-insight,insight,InSight,insight-site-01,InSight,InSight Lander,lander,Lander,landed,4.502384,135.623447,,,2018-11-26,confirmed,Golombek et al. 2020 InSight localization,,2018-042A,,JPL,US,https://doi.org/10.1029/2020EA001248,0,1,0
mars-2020-perseverance,mars-2020,Mars 2020,mars-2020-site-01,Perseverance landing site,Perseverance,rover,Rover landing site,landed,18.44463,77.45088,,,2021-02-18,confirmed,NASA NTRS Mars 2020 EDL assessment,,2020-052A,,JPL,US,https://ntrs.nasa.gov/citations/20210024480,0,1,0
